"Responder_Number","RVC","BMH","New","C4","Eating_Freq","Mealplan","Bring_Back","Main_Factor","Takeout_Freq","Max_Pay","Food_Thievery","Bought_Takeout","Why_Not","Delivery_Freq","Cost_Factor","Speed_Factor","Quality_Factor","Variety_Factor","Etc","Food_Thievery_YN","Why_Not_Qualitative"
1,1,1,0,0,"2","Yes","Yes","Speed",4,4,"often","No",NA,1,4,5,4,3,NA,"Yes",NA
2,1,2,1,2,"3","Yes","Yes","Schedule",4,10,"never","No",NA,NA,4,2,4,3,NA,"No",NA
3,1,0,0,1,"2","Yes","Yes","Place",4,4,"rarely","No",NA,2,4,2,3,2,NA,"Yes",NA
4,1,1,0,0,"2","Yes","Yes","Speed",4,4,"often","No",NA,0,4,4,3,3,NA,"Yes",NA
5,1,2,1,1,"3","Yes","Yes","Schedule",1,5,"sometimes","No","it is not available in my residence",0,3,2,2,2,NA,"Yes","Availability"
6,1,0,0,1,"2","Yes","Yes","Place",2,5,"often","Yes",NA,2,2,4,5,5,NA,"Yes",NA
7,1,1,1,1,"Missing","Yes","Yes","Place",4,0,"often","No",NA,1,5,3,5,3,NA,"Yes",NA
8,1,1,0,0,"2","Yes","Yes","Schedule",1,4,"often","No","I but from the cafés. Most dining halls don't have takeout like this.",0,5,2,4,2,NA,"Yes","Availability"
10,1,0,0,1,"3","Yes","Yes","Schedule",4,4,"sometimes","No","too expensive!",1,5,4,5,3,NA,"Yes","Price"
11,1,0,1,1,"3","Yes","Yes","Speed",2,0,"sometimes","No",NA,1,5,NA,NA,NA,NA,"Yes",NA
12,1,1,0,1,"1","Yes","Yes","Schedule",4,5,"often","No",NA,2,3,5,5,4,NA,"Yes",NA
13,1,2,1,0,"3","Yes","Yes","Schedule",2,0,"often","Yes",NA,0,5,3,NA,NA,NA,"Yes",NA
14,1,0,0,0,"3","Yes","Yes","Schedule",2,5,"rarely","No",NA,1,5,5,5,4,NA,"Yes",NA
15,1,1,0,0,"3","Yes","Yes","Schedule",4,0,"often","No",NA,0,4,3,NA,NA,NA,"Yes",NA
16,1,1,0,1,"3","Yes","Yes","Schedule",4,4,"often","No",NA,NA,NA,NA,NA,NA,NA,"Yes",NA
17,1,0,0,1,"3","Yes","Yes","Schedule",4,4,"often","Yes",NA,1,3,1,5,4,NA,"Yes",NA
18,1,0,1,0,"2","Yes","Yes","Schedule",2,0,"sometimes","No","Price, Quality",1,5,2,5,3,NA,"Yes","Price, Quality"
19,1,0,1,0,"3","Yes","Yes","Schedule",2,0,"sometimes","No",NA,0,4,3,3,3,NA,"Yes",NA
20,1,1,0,0,"2","Yes","Yes","Schedule",NA,4,"often","No",NA,1,3,3,4,3,NA,"Yes",NA
21,1,0,1,0,"3","Yes","Yes","Schedule",NA,4,"rarely","No","To spenny",1,5,2,5,3,NA,"Yes","Price"
22,1,1,1,0,"1","Yes","Yes","Place",4,0,"sometimes",NA,NA,1,2,3,4,NA,NA,"Yes",NA
23,1,0,1,1,"3","Yes","Yes","Place",2,4,"rarely","No",NA,0,5,1,1,1,NA,"Yes",NA
24,1,1,0,0,"3","Yes","Yes","Waste",4,0,"sometimes","No",NA,2,5,5,5,5,NA,"Yes",NA
25,1,0,0,1,"2","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,1,0,1,"3","Yes","Yes","Schedule",4,0,"often","No",NA,4,5,NA,NA,NA,NA,"Yes",NA
27,1,1,0,1,"3","Yes","Yes","Waste",4,0,"rarely","Yes",NA,1,5,3,5,2,NA,"Yes",NA
28,1,1,1,0,"2","Yes","Yes","Place",4,4,"never","No",NA,4,3,3,4,4,NA,"No",NA
29,1,0,0,0,"2","Yes","Yes","Speed",2,4,"sometimes","No",NA,1,3,2,NA,3,NA,"Yes",NA
30,1,2,2,1,"3","Yes","No","Schedule",4,0,"never","No",NA,NA,5,NA,NA,NA,NA,"No",NA
31,1,0,1,0,"3","Yes","Yes","Schedule",2,0,"sometimes","No",NA,1,4,NA,3,5,NA,"Yes",NA
32,1,2,0,1,"2","Yes","Yes","Speed",1,5,"rarely","No",NA,1,NA,NA,NA,NA,NA,"Yes",NA
34,1,1,0,0,"1","Yes","Yes","Schedule",2,4,"rarely","No",NA,1,3,3,1,NA,NA,"Yes",NA
36,1,2,2,2,"3","Yes","Yes","Schedule",4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,0,0,1,"2","Yes","Yes",NA,2,0,"often","Yes",NA,NA,NA,NA,NA,NA,NA,"Yes",NA
38,1,0,0,0,"3","Yes","Yes",NA,2,5,"rarely","No",NA,0,5,NA,1,1,NA,"Yes",NA
40,1,0,0,0,"0","No",NA,NA,2,4,"never","No",NA,2,5,NA,NA,NA,NA,"No",NA
41,1,0,0,1,"3","Yes","Yes","Schedule",NA,5,"often","No",NA,0,5,2,3,2,NA,"Yes",NA
42,1,1,0,0,"3","Yes","No","Waste",0,NA,NA,"No",NA,0,NA,NA,NA,NA,NA,NA,NA
